date,Close,High,Low,Open,Volume,stock,RSI,SMA_20,SMA_50,Momentum_10d,sentimiento_medio,num_noticias,score,score_dca,etiqueta_dca,mensaje_dca,aviso_sentimiento,aporte_precio,aporte_rsi,aporte_sentimiento,score_dca_check
2011-05-12,43.16694641113281,43.28258956108338,42.28677327530976,42.42811544764793,15622200,JNJ,77.41234314905384,41.486598587036134,39.51469367980957,2.7684283916233454,0.0,0.0,-7.23,-43.49,Descuento fuerte,El precio está entre los momentos de mayor descuento de su historial.,,-18.48554242084078,-25.0,0.0,-43.49
2011-05-13,42.80076217651367,43.2055109231922,42.37030949489621,43.10271478979418,11700900,JNJ,70.61280843371372,41.69861068725586,39.5862638092041,1.3694406086956823,0.0,0.0,-8.63,-41.24,Descuento fuerte,El precio está entre los momentos de mayor descuento de su historial.,,-16.240473628946912,-25.0,0.0,-41.24
2011-05-16,42.64013671875,42.90996915214364,42.52449354706869,42.66583574596677,11513200,JNJ,67.79963966565452,41.88524551391602,39.65449310302734,0.24163046036054237,0.0,0.0,20.24,-25.06,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-15.058286625758054,-10.0,0.0,-25.06
2011-05-17,42.65940856933594,42.71080662233036,42.31247906400576,42.55019138291387,10784100,JNJ,67.96454583851853,42.07605628967285,39.73158828735352,0.21126712602510533,0.0,0.0,20.21,-24.74,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-14.73799768993549,-10.0,0.0,-24.74
2011-05-18,42.7236557006836,42.73008168300814,42.36387911592296,42.511642398268926,9028400,JNJ,68.54292092784982,42.198445320129395,39.805985107421876,1.263891998201827,0.0,0.0,21.26,-24.66,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-14.659456789666145,-10.0,0.0,-24.66
2011-05-19,42.65299606323242,42.74294023359584,42.30606644829224,42.74294023359584,9685100,JNJ,67.1079114671654,42.26269130706787,39.88295204162598,2.122751045752813,0.0,0.0,22.12,-23.89,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-13.890867550202104,-10.0,0.0,-23.89
2011-05-20,42.20327377319336,42.61444850986812,41.93986235354167,42.5630504423864,12367000,JNJ,58.68644623279222,42.31473159790039,39.96107551574707,0.6434783399741573,0.0,0.0,0.64,-21.22,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-11.221911465134262,-10.0,0.0,-21.22
2011-05-23,42.1197395324707,42.20326259540428,41.81136101243529,41.88203211110762,12020200,JNJ,57.249338876910684,42.36131038665771,40.03650039672851,-0.106647607372512,0.0,0.0,-0.11,-20.41,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-10.406699462235798,-10.0,0.0,-20.41
2011-05-24,42.26107406616211,42.55018439055456,42.08118581183116,42.23537504388808,11017700,JNJ,59.07535563592396,42.387972068786624,40.121947326660155,0.03036534850535677,0.0,0.0,0.03,-20.66,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-10.66312520718829,-10.0,0.0,-20.66
2011-05-25,42.58874130249024,42.78147666617264,42.44739909483667,42.58874130249024,14767100,JNJ,63.01910045418977,42.411101531982425,40.2222998046875,-0.420584617434705,0.0,0.0,19.58,-21.77,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-11.766813480550681,-10.0,0.0,-21.77
2011-05-26,42.45265579223633,42.62762257867181,42.303605982672046,42.50449469007961,12044100,JNJ,60.41514663934294,42.433529663085935,40.33046691894531,-1.6547165789616014,0.0,0.0,18.35,-20.52,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-10.523998532206994,-10.0,0.0,-20.52
2011-05-27,43.2691764831543,43.39878609528988,42.51097879254053,42.63410668804404,16385700,JNJ,68.75686730018056,42.48586101531983,40.44892501831055,1.094406461055164,0.0,0.0,21.09,-23.94,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-13.944753605031876,-10.0,0.0,-23.94
2011-05-31,43.60615921020508,43.638557907154,43.41174725210567,43.61911770016435,16473800,JNJ,71.43248576284,42.53930130004883,40.56846939086914,2.2655239072680855,0.0,0.0,-7.73,-39.98,Descuento fuerte,El precio está entre los momentos de mayor descuento de su historial.,,-14.97561956340231,-25.0,0.0,-39.98
2011-06-01,43.08126068115234,43.60616612956994,43.06829724503458,43.431194350695904,11003400,JNJ,62.45979746849941,42.564890670776364,40.67417495727539,0.988884107783039,0.0,0.0,20.99,-21.84,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-11.83594123989178,-10.0,0.0,-21.84
2011-06-02,43.08126068115234,43.26270923398301,42.95165104048598,43.05533875301907,9582900,JNJ,62.45979746849941,42.609432983398435,40.780394592285155,0.8370186834527171,0.0,0.0,20.84,-21.28,Descuento moderado,"El precio está por debajo de su media reciente, posible oportunidad.",,-11.28417766365831,-10.0,0.0,-21.28
